"94126","0102299991","10","Other","94122","DIT","94126"
"94127","0102299991","80","Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg","94126","DIT","94127"
"94128","0102299999","80","Other","94126","DIT","94128"
"94054","0102310000","10","Buffalo","27633","DIT","94054"
"94051","0102310000","80","Pure-bred breeding animals","94054","DIT","94051"
"94055","0102390000","80","Other","94054","DIT","94055"
"94129","0102391000","80","Domestic species","94055","DIT","94129"
"96165","0102391010","80","Of a weight exceeding 160 kg","94129","DIT","96165"
"96167","0102391090","80","Other","94129","DIT","96167"
"94130","0102399000","80","Other","94055","DIT","94130"
"27638","0102900000","80","Other","27633","DIT","27638"
"94052","0102902000","80","Pure-bred breeding animals","27638","DIT","94052"
"94131","0102909100","10","Other","27638","DIT","94131"
"94132","0102909100","80","Domestic species","94131","DIT","94132"
"96168","0102909110","80","Of a weight exceeding 160 kg","94132","DIT","96168"
"96166","0102909190","80","Other","94132","DIT","96166"
"94133","0102909900","80","Other","94131","DIT","94133"
"27762","0103000000","80","Live swine","27623","DIT","27762"
"27763","0103100000","80","Pure-bred breeding animals","27762","DIT","27763"
"27764","0103910000","10","Other","27762","DIT","27764"
"27765","0103910000","80","Weighing less than 50 kg","27764","DIT","27765"
"27766","0103911000","80","Domestic species","27765","DIT","27766"
"27767","0103919000","80","Other","27765","DIT","27767"
"27768","0103920000","80","Weighing 50 kg or more","27764","DIT","27768"
"27769","0103921100","10","Domestic species","27768","DIT","27769"
"27770","0103921100","80","Sows having farrowed at least once, of a weight of not less than 160 kg","27769","DIT","27770"
"27771","0103921900","80","Other","27769","DIT","27771"
"27772","0103929000","80","Other","27768","DIT","27772"
"27773","0104000000","80","Live sheep and goats","27623","DIT","27773"
"27774","0104100000","80","Sheep","27773","DIT","27774"
"27775","0104101000","80","Pure-bred breeding animals","27774","DIT","27775"
"27776","0104103000","10","Other","27774","DIT","27776"
"27777","0104103000","80","Lambs (up to a year old)","27776","DIT","27777"
"27778","0104108000","80","Other","27776","DIT","27778"
"27780","0104200000","80","Goats","27773","DIT","27780"
"27781","0104201000","80","Pure-bred breeding animals","27780","DIT","27781"
"27782","0104209000","80","Other","27780","DIT","27782"
"27783","0105000000","80","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","27623","DIT","27783"
"27784","0105110000","10","Weighing not more than 185 g","27783","DIT","27784"
"27785","0105110000","80","Fowls of the species Gallus domesticus","27784","DIT","27785"
"27786","0105111100","10","Grandparent and parent female chicks","27785","DIT","27786"
"27787","0105111100","80","Laying stocks","27786","DIT","27787"
"27788","0105111900","80","Other","27786","DIT","27788"
"27789","0105119100","10","Other","27785","DIT","27789"
"27790","0105119100","80","Laying stocks","27789","DIT","27790"
"27791","0105119900","80","Other","27789","DIT","27791"
"59201","0105120000","80","Turkeys","27784","DIT","59201"
"94185","0105130000","80","Ducks","27784","DIT","94185"
"94186","0105140000","80","Geese","27784","DIT","94186"
"94187","0105150000","80","Guinea fowls","27784","DIT","94187"
"85304","0105940000","10","Other","27783","DIT","85304"
"85305","0105940000","80","Fowls of the species Gallus domesticus","85304","DIT","85305"
"27797","0105990000","80","Other","85304","DIT","27797"
"27798","0105991000","80","Ducks","27797","DIT","27798"
"27799","0105992000","80","Geese","27797","DIT","27799"
"27800","0105993000","80","Turkeys","27797","DIT","27800"
"27801","0105995000","80","Guinea fowls","27797","DIT","27801"
"27802","0106000000","80","Other live animals","27623","DIT","27802"
"72769","0106110000","10","Mammals","27802","DIT","72769"
"72770","0106110000","80","Primates","72769","DIT","72770"
"72771","0106120000","80","Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","72769","DIT","72771"
"94188","0106130000","80","Camels and other camelids (Camelidae)","72769","DIT","94188"
"94189","0106140000","80","Rabbits and hares","72769","DIT","94189"
"94190","0106141000","80","Domestic rabbits","94189","DIT","94190"
"94191","0106149000","80","Other","94189","DIT","94191"
"72772","0106190000","80","Other","72769","DIT","72772"
"72775","0106200000","80","Reptiles (including snakes and turtles)","27802","DIT","72775"
"72776","0106310000","10","Birds","27802","DIT","72776"
"72777","0106310000","80","Birds of prey","72776","DIT","72777"
"72778","0106320000","80","Psittaciformes (including parrots, parakeets, macaws and cockatoos)","72776","DIT","72778"
"94192","0106330000","80","Ostriches; emus (Dromaius novaehollandiae)","72776","DIT","94192"
"72779","0106390000","80","Other","72776","DIT","72779"
"72780","0106391000","80","Pigeons","72779","DIT","72780"
"94193","0106398000","80","Other","72779","DIT","94193"
"94194","0106410000","10","Insects","27802","DIT","94194"
"94195","0106410000","80","Bees","94194","DIT","94195"
"94196","0106490000","80","Other","94194","DIT","94196"
"72782","0106900000","80","Other","27802","DIT","72782"
"105936","0106900010","10","Frogs","72782","DIT","105936"
"105934","0106900010","80","Fit for human consumption","105936","DIT","105934"
"105935","0106900019","80","Other","105936","DIT","105935"
"105933","0106900090","80","Other","72782","DIT","105933"
"27809","0200000000","80","MEAT AND EDIBLE MEAT OFFAL",,"DIT","27809"
"27810","0201000000","80","Meat of bovine animals, fresh or chilled","27809","DIT","27810"
"27811","0201100000","80","Carcases and half-carcases","27810","DIT","27811"
"104276","0201100021","10","High quality beef and veal","27811","DIT","104276"
"104254","0201100021","80","Of bison","104276","DIT","104254"
"104255","0201100029","80","Other","104276","DIT","104255"
