"id","commodity__sid","commodity__code","commodity__suffix","commodity__description","commodity__validity_start","commodity__validity_end","parent__sid","parent__code","parent__suffix"
"21624","104180","8504318045","80","Electrical Transformer with:<br> <br><br><br>- a capacity of 0,2 Watts,<br> <br><br><br>- dimensions of not more than 15 x 15,5 x 14 mm,<br> <br><br><br>- an operating temperature range of - 10 °C or more, but not more than + 125 °C,<br> <br><br><br>- two inductively coupled copper wire windings,<br> <br><br><br>- 5 connection pins at the bottom, and<br> <br><br><br>- a copper shielding<br>","2019-01-01","#NA","82466","8504318000","80"
"21625","100487","8504318050","80","Transformers for use in the manufacture of electronic drivers, control devices and LED light sources for lighting industry","2017-01-01","#NA","82466","8504318000","80"
"21626","104891","8504318055","80","Electrical transformer with:
-	a capacity of 0,22 kVA or more, but not more than 0,24 kVA,
-	an operating temperature range of + 10°C or more, but not more than + 125°C,
-	four or five inductively coupled copper wire windings,
-	11 or 12 connection pins at the bottom, and
-	dimensions of not more than 32 mm x 37,8 mm x 25,8 mm","2020-01-01","#NA","82466","8504318000","80"
"21627","82470","8504318090","80","Other","2006-01-01","#NA","82466","8504318000","80"
"21628","49704","8504320000","80","Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA","1972-01-01","#NA","49694","8504310000","10"
"21629","93187","8504320010","80","For use in civil aircraft","2011-01-01","#NA","49704","8504320000","80"
"21630","93188","8504320090","80","Other","2011-01-01","#NA","49704","8504320000","80"
"21631","49711","8504330000","80","Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA","1972-01-01","#NA","49694","8504310000","10"
"21632","82480","8504330010","80","For use in civil aircraft","2006-01-01","#NA","49711","8504330000","80"
"21633","82479","8504330090","80","Other","2006-01-01","#NA","49711","8504330000","80"
"21634","49714","8504340000","80","Having a power handling capacity exceeding 500 kVA","1972-01-01","#NA","49694","8504310000","10"
"21635","49715","8504400000","80","Static converters","1972-01-01","#NA","49682","8504000000","80"
"21636","82587","8504403000","80","Of a kind used with telecommunication apparatus, automatic data-processing machines and units thereof","2006-01-01","#NA","49715","8504400000","80"
"21637","82590","8504405500","10","Other","2006-01-01","#NA","49715","8504400000","80"
"21638","82591","8504405500","80","Accumulator chargers","2006-01-01","#NA","82590","8504405500","10"
"21639","82604","8504405510","80","For use in civil aircraft","2006-01-01","#NA","82591","8504405500","80"
"21640","82612","8504405590","80","Other","2006-01-01","#NA","82591","8504405500","80"
"21641","93244","8504408200","10","Other","2011-01-01","#NA","82590","8504405500","10"
"21642","93243","8504408200","80","Rectifiers","2011-01-01","#NA","93244","8504408200","10"
"21643","93248","8504408210","80","For use in civil aircraft","2011-01-01","#NA","93243","8504408200","80"
"21644","93247","8504408290","80","Other","2011-01-01","#NA","93243","8504408200","80"
"21645","82594","8504408400","10","Inverters","2006-01-01","#NA","93244","8504408200","10"
"21646","82595","8504408400","80","Having a power handling capacity not exceeding 7,5 kVA","2006-01-01","#NA","82594","8504408400","10"
"21647","82606","8504408410","80","For use in civil aircraft","2006-01-01","#NA","82595","8504408400","80"
"21648","82609","8504408490","80","Other","2006-01-01","#NA","82595","8504408400","80"
